source,target
10483,3280
712,71
103,1259
22726,1720
1225,1405
2980,8071
582,295
1779,4325
22300,11333
301,1392
15948,14107
22547,2637
18045,1236
9743,1581
4313,1894
12878,2960
1636,3473
135,6865
124,717
696,434
3160,883
4339,6043
5942,4100
13276,5177
112,433
12353,50543
1206,997
4083,5262
1835,14941
6076,1179
7859,210
6507,10423
2415,24
7959,8267
6323,1250
642,4180
33201,8778
25993,1619
31,724
5162,1309
20536,6482
2232,975
10422,12907
7248,16281
4552,1037
540,11331
2119,10417
1945,3285
64538,35153
2749,1606
644,11544
794,2151
682,20556
5410,2563
729,103
4944,9496
6842,134
536,1167
8296,45348
3262,2028
16717,15660
346,9356
21634,21791
8285,1619
11519,1177
795,48
34045,4133
2108,3866
1207,913
963,395
3459,1635
41787,22359
14846,20722
3211,5953
15458,993
46475,46476
238,12301
5503,11142
985,1304
20156,3933
645,5761
358,9508
1053,390
2899,2335
20250,2306
3138,4162
1460,780
39149,7995
4556,3174
44717,13279
787,2156
5621,4360
632,1529
8156,3249
5384,4851
39053,65596
4368,19096
2254,3377
4921,789
3226,2251
2276,1763
1134,8
4357,34876
19997,4805
45720,8588
18603,1316
15977,16593
663,2956
14018,28111
3148,14846
1815,2946
4297,725
1823,23791
2980,4596
145,976
8370,1656
4847,35717
634,550
35947,4601
10434,7804
1663,4415
24224,24219
5095,7693
18755,56056
2291,28
15634,2714
20374,433
2489,90
421,1268
3414,30868
6939,4681
137,1497
32707,63643
12747,44785
6562,1629
228,3428
586,235
212,563
62123,28580
51070,47951
13167,51666
51023,12732
20726,1519
10975,2059
573,2922
5572,2248
9642,433
5919,673
15157,828
29403,9264
3895,12910
8279,45310
1912,18
3270,3174
1780,1255
3142,3973
6467,35529
12367,1718
2543,2508
71398,333
23558,59733
12750,2244
6392,824
57564,34228
8734,2656
3863,3879
5036,5034
3723,3655
1752,409
3198,30109
9429,40337
558,410
1858,1619
370,1412
8900,46270
165,96
2063,2226
7960,2651
2234,4411
30043,7599
1954,65
1636,13013
7394,9053
546,1225
1709,1192
5173,1440
5542,11107
8548,5829
1669,22366
763,697
5425,4620
46184,8844
50625,50607
44,849
18082,5883
4680,67
1189,10915
5729,1277
53340,28
19576,1918
3890,8697
4357,2047
26066,50230
15701,27860
4549,5789
993,1623
3485,1895
20573,8792
2218,745
8168,2118
22,2314
69925,61156
21012,780
12526,639
14723,20842
1606,4046
4890,36626
23848,8688
285,2863
2747,3560
28277,12573
1108,111
10869,453
3923,44
4053,1550
40884,66092
15537,14860
2747,2083
4472,5250
1224,76
2063,2183
5281,5267
25455,8777
2246,828
6793,23292
60841,25393
20740,4609
41896,42548
2138,25688
31553,5224
5,778
5550,94
2183,1719
10505,16832
75,2030
1027,728
39885,65804
1433,8437
30392,39300
32736,5317
9282,3685
5966,115
1232,5908
431,1613
2931,30
12898,3979
13835,715
54940,54934
1207,107
2867,11746
8712,12823
7631,1815
20522,57698
645,3841
10846,398
3924,4367
18590,72
1036,4558
1322,1406
7534,24091
1508,20496
68980,54862
11947,1179
172,143
3274,1547
2270,1580
49549,49550
7640,15811
3867,2201
70756,67249
492,88
39167,6103
6518,10975
24229,7944
18888,56137
73909,1409
2151,9512
18352,1440
7619,35159
1543,2565
8675,105
1835,14890
5276,2464
2410,18656
21415,3398
8880,481
8074,71388
1254,1401
4851,27142
1025,14018
549,44
1677,3540
81,102
12723,18088
8321,5273
3830,18
6487,6491
10192,5196
33,445
663,300
19333,4917
6008,553
434,732
3339,4599
645,226
60263,60264
133,2201
14783,3540
4010,1439
649,12823
1865,10495
824,3459
678,728
17236,1398
7047,13447
1285,1312
6518,2565
1409,4080
11581,20756
44715,7928
14360,52510
7433,1288
760,365
8593,1438
2968,548
5943,31
8613,1446
33031,3921
6692,814
2509,1256
700,768
730,1910
16382,19053
6183,2059
4787,30241
3921,15945
2274,225
8523,1516
26040,12765
21545,10296
413,1589
1639,735
16180,21745
15803,3520
245,344
443,5270
5308,5344
21463,1937
3149,4205
31921,50772
40434,65982
1163,2023
5299,294
674,1318
2508,625
12352,737
7733,4051
1890,386
1636,2255
2458,7487
678,9634
801,97
6325,402
11879,590
34555,4260
766,637
7796,548
19657,1831
44875,38871
45021,10599
12588,1909
737,1640
391,411
5232,62322
11707,1283
6350,548
55,1259
74763,1014
686,3850
36882,4944
3201,9505
7018,7053
751,610
291,16520
1515,20605
7047,42805
1539,2198
1006,2789
47310,26244
6561,40
22652,1719
433,1184
154,2576
2421,24
19,20
5967,8272
3275,1575
36969,12679
8718,650
19929,15829
5382,949
2082,849
144,7309
71428,16375
64635,37571
2199,3986
26463,17581
12244,7069
3885,898
15886,913
9166,8703
2118,289
2504,849
3857,617
2805,28759
74632,18
433,48
10832,1409
22261,23978
11774,6458
445,836
23815,23811
9412,1638
427,312
388,843
10064,32245
8652,410
876,15674
32201,3684
7581,2130
2704,19483
1529,1111
426,2445
67632,47725
3192,39
1510,5541
7726,44355
637,612
645,2019
2471,2693
645,898
1447,2690
46498,67393
307,805
6610,5628
1110,434
50129,2995
17130,1036
44660,23066
3040,6628
9528,2424
1851,16148
324,12
4514,35667
1572,3985
6102,172
16739,4061
8734,21131
6712,8018
9628,47272
19157,11240
44118,13762
3159,4202
2647,28
16334,972
35373,1516
9504,1411
829,5795
3278,679
6270,40749
1400,5952
8675,297
10420,48074
4122,5094
1850,22016
17581,7470
39279,5667
34914,64458
44874,67063
704,93
37,401
8271,1520
14526,2148
2545,5724
776,7251
723,3557
8867,5253
762,210
10297,47890
3275,1574
1409,7725
43094,7171
71399,1457
13801,717
645,2536
46113,34288
2978,689
3966,1438
2070,2239
2110,7253
2410,27073
38924,28267
8020,1408
20124,9979
4425,1911
3987,59
15937,35508
5496,3278
1669,16571
34,890
17170,36613
34901,19090
7073,6281
4092,33848
41619,6631
5224,54888
847,4096
47764,64
12926,650
765,15
3262,18
195,33
16925,1026
508,1075
22810,59025
5425,4123
2119,2643
634,58972
1484,20238
4008,786
4069,4051
20758,21067
5286,5550
2644,1023
21938,58732
1847,41716
7611,3564
3249,8740
4607,18
9341,20851
763,0
24296,1857
25635,4781
40663,6733
394,782
682,84
4643,6431
3921,15665
38044,65334
3365,4615
